11;menton;FRXMT;87756486
38;dijon ville;FRABA;87713040
45;besançon viotte;FRABG;87718007
76;dole ville;FRACE;87713412
77;dax;FRACG;87673202
84;angers st-laud;FRACL;87484006
85;saumur;FRACN;87487603
91;champagne-ardenne tgv;FREAH;87171926
92;reims ville;FRRHE;87171009
93;laval;FRACR;87478404
114;metz;FRADE;87192039
117;forbach;FRBQT;87193003
122;dunkerque;FRADI;87281006
123;lille-flandres;FRADJ;87286005
125;tourcoing;FRADM;87286542
148;calais ville;FRAEA;87317263
149;boulogne-sur-mer ville;FRAEB;87317586
151;pau;FRAEE;87672006
152;hendaye;FRAEF;87677005
153;strasbourg;FRAEG;87212027
157;colmar;FRAEJ;87182014
158;mulhouse;FRAEK;87182063
171;avignon centre;FRAES;87765008
172;le mans;FRAET;87396002
178;le havre;FRAEZ;87413013
203;tours;FRAFW;87571000
207;agen;FRAGF;87586008
212;modane;FRAGR;87742007
223;versailles-chantiers;FRDHT;87393009
233;aix-en-provence tgv;FRAIE;87319012
347;angoulême;FRANG;87583005
485;avignon tgv;FRAVG;87318964
640;rethel;FRBDT;87172270
659;brest;FRBES;87474007
667;vitry-le-françois;FRBFO;87174276
713;biarritz;FRBIQ;87673400
828;bordeaux st-jean;FRBOJ;87581009
1066;béziers;FRBZR;87781005
1119;carcassonne;FRCCF;87615286
1125;châlons-en-champagne;FRXCR;87174003
1180;cannes;FRJCA;87757625
1339;chambéry challes-les-eaux;FRCMF;87741009
1419;calais fréthun;FRSTH;87281071
1539;rang-du-fliers—verton;FRCVU;87317057
1818;massy tgv;FRDJU;87393702
1916;dol-de-bretagne;FRDOL;87478073
2002;massy—palaiseau;FRMPU;87393579
2091;meuse tgv;FREAJ;87147322
2094;lorraine tgv;FREAM;87142109
2122;st-étienne châteaucreux;FRHHD;87726000
2138;quimperlé;FRECO;87476317
2207;le croisic;FREGU;87481788
2234;surgères;FREIP;87485227
2243;st-maixent;FREJC;87485490
2312;nancy;FRENC;87141002
2343;épinal;FREPL;87144006
2406;vendôme—villiers-sur-loir;FRESL;87571216
2416;etaples—le touquet;FRETA;87317065
2553;facture—biganos;FRFAC;87582478
2825;nîmes centre;FRFNI;87775007
3202;orthez;FRGFI;87672253
3232;guingamp;FRGGP;87473207
3358;grenoble;FRGNB;87747006
3527;montbard;FRGWE;87713131
3751;mâcon ville;FRHGU;87725689
3934;st-jean-de-maurienne—arvan;FRHPN;87742320
4143;arles;FRHZA;87753657
4151;hazebrouck;FRHZK;87286302
4558;lyon st-exupéry tgv;FRJDQ;87762906
4564;la baule-escoublac;FRJEE;87481754
4598;lamballe;FRLAM;87473108
4626;lourdes;FRLDE;87671339
4653;lille-europe;FRLLE;87223263
4666;lunéville;FRLNE;87141150
4676;lyon part-dieu;FRLPD;87723197
4677;lyon perrache;FRLPE;87722025
4687;la rochelle ville;FRLRH;87485003
4690;lorient;FRLRT;87476002
4698;les sables-d’olonne;FRLSO;87486449
4722;miramas;FRMAZ;87753004
4756;mâcon—loché tgv;FRMLT;87725705
4757;marne-la-vallée—chessy;FRMLV;87111849
4786;montpellier st-roch;FRMPL;87773002
4791;marseille st-charles;FRMSC;87751008
4804;mantes-la-jolie;FRMTE;87381509
4807;montélimar;FRXMK;87764001
4822;morlaix;FRMXN;87474338
4839;nice ville;FRNIC;87756056
4843;annecy;FRNCY;87746008
4853;niort;FRNIT;87485300
4866;nantes;FRNTE;87481002
4919;paris gare de l’est;FRPST;87113001
4920;paris montparnasse;FRPMO;87391003
4922;paris gare du nord;FRPNO;87271007
4924;paris gare de lyon;FRPLY;87686006
4955;perpignan;FRPGF;87784009
4964;poitiers;FRPIS;87575001
4975;plouaret—trégor;FRPLT;87473181
5002;futuroscope;FRTGO;87324095
5042;arras;FRQRV;87342014
5097;rennes;FRRNS;87471003
5098;remiremont;FRRNT;87144451
5107;rosporden;FRRSP;87474155
5126;sablé-sur-sarthe;FRSAB;87396408
5142;sarrebourg;FRSBG;87215012
5144;st-brieuc;FRSBK;87473009
5166;sedan;FRXSW;87172254
5216;saverne;FRSNE;87212225
5219;st-nazaire;FRSNR;87481705
5298;haute-picardie tgv;FRTHP;87313882
5304;toulon;FRTLN;87755009
5311;toulouse matabiau;FRXYT;87611004
5432;quimper;FRUIP;87474098
5601;rouen rive droite;FRURD;87411017
5610;valence ville;FRVAF;87761007
5614;valence tgv;FRVLA;87763029
5663;vannes;FRVNE;87476606
5743;arcachon;FRXAC;87582668
5744;agde;FRXAG;87781278
5745;aix-les-bains—le revard;FRXAI;87741132
5749;antibes;FRXAT;87757674
5753;bar-le-duc;FRXBD;87175042
5754;béthune;FRXBH;87342006
5760;beaune;FRXBV;87713545
5762;bayonne;FRXBY;87673004
5764;le creusot tgv;FRXCC;87694109
5765;chalon-sur-saône;FRXCD;87725002
5773;châtellerault;FRXCX;87575142
5775;charleville-mézières;FRXCZ;87172007
5777;douai;FRXDN;87345009
5784;hyères;FRXHE;87755629
5788;st-jean-de-luz—ciboure;FRXJZ;87677120
5790;landerneau;FRXLD;87474239
5791;lens;FRXLE;87345025
5795;libourne;FRXLR;87584052
5801;monaco—monte-carlo;FRXMM;87756403
5804;montauban ville bourbon;FRXMW;87611244
5806;narbonne;FRXNA;87781104
5808;orange;FRXOG;87765107
5814;redon;FRXRN;87471300
5815;la roche-sur-yon;FRXRO;87486019
5816;les arcs—draguignan;FRXRS;87755447
5818;st-malo;FRXSB;87478107
5821;st-pierre-des-corps;FRXSH;87571240
5824;st-raphaël—valescure;FRXSK;87757526
5834;sète;FRXSY;87773200
5836;tarbes;FRXTB;87671008
5838;st-dié;FRXTD;87144014
5839;thionville;FRXTH;87191007
5845;auray;FRXUY;87476200
5853;valenciennes;FRXVS;87343004
5854;vitré;FRXVT;87471508
10496;belfort—montbéliard tgv;FRTJA;87300822
10498;besançon-franche-comté tgv;FRTJB;87300863
38108;nîmes pont du gard;FRXZP;87703975
