2;château-arnoux—st-auban;87751230
3;château-arnoux mairie;87751222
6;digne-les-bains;87751495
7;la crau;87755611
8;aire-sur-l’adour;87671040
9;cagnes-sur-mer;87756320
11;menton;87756486
12;menton—garavan;87756494
18;vievola;87756890
19;mandelieu-la-napoule;87757591
24;decazeville centre;87613679
25;viviez—decazeville;87613661
26;decazeville fontvergne;87613695
28;st-sever centre;87419291
29;st-sever calvados;87447714
31;vire centre;87448167
32;vire;87448159
34;marans centre;87389882
35;marans;87485060
36;uzerche;87594200
38;dijon ville;87713040
41;pontrieux halte;87473835
42;pontrieux;87473843
43;auboué;87191684
44;périgueux;87595009
45;besançon viotte;87718007
47;douarnenez office de tourisme;87479907
51;concarneau port;87479899
52;concarneau;87474387
55;aboncourt;87191403
56;aiton—bourgneuf;87741249
58;colomiers;87611467
59;colomiers lycée international;87611921
61;labège innopole;87612002
62;labège village;87612028
63;azay-le-rideau mairie;87110296
64;albas;87613752
65;abancourt;87313759
67;lunel-viel;87773424
68;lunel;87773408
72;moirans;87747329
73;arc-et-senans;87718841
74;accolay;87683656
76;dole ville;87713412
77;dax;87673202
82;rezé—pont-rousseau;87481036
83;cherbourg;87444877
84;angers st-laud;87484006
85;saumur;87487603
87;cérences centre;87388199
90;reims maison blanche;87171272
91;champagne-ardenne tgv;87171926
92;reims ville;87171009
93;laval;87478404
94;accous;87672782
95;achiet;87342048
97;louverné;87478511
100;mayenne;87478594
101;mayenne centre;87478602
105;arnage;87396549
106;arnage centre;87360339
108;plouharnel—carnac;87476416
109;les sables-blancs;87476267
110;carnac;87289678
112;l’isthme;87476275
113;st-pierre-quiberon;87476440
114;metz;87192039
117;forbach;87193003
121;sarreguemines;87193615
122;dunkerque;87281006
123;lille-flandres;87286005
124;haubourdin;87286096
125;tourcoing;87286542
127;nomain-ouvignies;87286815
128;nomain;87286609
130;croix—wasquehal;87286716
131;croix-l’allumette;87281055
132;roubaix;87286732
137;jeumont;87295014
140;bellegarde-sur-valserine;87745000
141;bellegarde-sur-valserine lycée musinens;87742726
143;briouze;87448084
148;calais ville;87317263
149;boulogne-sur-mer ville;87317586
150;allenc;87783654
151;pau;87672006
152;hendaye;87677005
153;strasbourg;87212027
155;mertzwiller;87213207
157;colmar;87182014
158;mulhouse;87182063
160;st-louis la-chaussée;87181016
161;st-louis;87182139
163;thann;87182568
164;thann—st-jacques;87182881
165;givors canal;87722439
167;aspach-le-haut;87674143
168;aspach-le-bas;87215376
171;avignon centre;87765008
172;le mans;87396002
173;joué-lès-tours berthelot;87110288
175;eu-la-mouillette;87316760
176;eu;87317537
177;alleyras;87731885
178;le havre;87413013
180;harfleur-halte;87413708
181;harfleur;87413302
184;montivilliers;87413724
186;dieppe;87415018
187;fontainebleau—avon;87682211
189;péronne centre;87313411
190;péronne la chapelette;87313866
191;albi ville;87615005
192;orléans centre;87543009
194;vendôme;87574558
195;fréjus;87757500
196;fontenay-le-comte;87485615
197;acheux-franleu;87316745
199;st-hilaire-de-riez;87486563
200;st-hilaire-de-riez centre;87389924
201;la clayette—baudemont;87694737
203;tours;87571000
204;cambrai;87345520
205;aiguebelle;87741256
207;agen;87586008
208;ervy-le-châtel halles;87110346
209;fays-la-chapelle;87110379
210;agonac;87595157
211;limoges bénédictins;87592006
212;modane;87742007
213;agos;87620070
215;argenton-sur-creuse;87597120
216;argenton-sur-creuse gare routière;87201566
217;roye;87313502
218;agay;87757559
223;versailles-chantiers;87393009
224;villeneuve-au-chemin;87110361
230;salvagnac;87110155
233;aix-en-provence tgv;87319012
234;moustéru;87473512
239;aillevillers;87185629
241;ailly-sur-noye;87313221
246;ailly-sur-somme;87313098
252;aiserey;87713636
264;vicq-sur-breuilh;87115113
265;st-hilaire-bonneval;87115121
266;boisseuil;87115139
267;azay-sur-indre;87115337
286;mouroux;87116285
292;alet-les-bains;87615187
293;allassac;87594234
295;albens;87746115
302;pierre-buffière ville;87408997
304;la ferté-sous-jouarre;87116517
311;merten;87193219
313;la ferté-milon;87116673
314;neuilly-st-front;87116681
315;oulchy-breny;87116699
316;albi madeleine;87615195
317;ambérieu;87743716
322;auxon église;87117119
323;rehainviller;87117135
324;st-pierremont;87117143
325;leintrey;87117168
326;amenoncourt;87117176
327;magnac bourg;87450007
328;aigues-mortes;87775858
329;meuzac;87450015
335;orville;87117267
336;torcenay;87117275
337;rosoy-sur-amance;87117283
338;bize;87117309
339;anrosey;87117317
340;pisseloup;87117325
341;bétoncourt-sur-mance;87117333
342;vernois-sur-mance;87117341
343;andelot;87715102
345;angers maître école;87484048
346;blondefontaine;87117366
347;angoulême;87583005
348;raincourt;87117374
349;gévigney;87117382
350;baulay;87117390
351;amoncourt;87117408
352;chaux-les-port;87117416
353;charmoille;87117424
354;pusey;87117432
355;martigny-les-gerbonvaux;87117440
356;autreville;87117457
358;mont-le-vignoble;87117473
359;hestroff;87117499
360;vaudreching;87117507
361;alzing;87117515
363;villette;87117564
364;colmey—flabeuville;87117572
365;montigny-sur-chiers;87117598
366;lexy;87117606
367;ingolsheim;87117614
372;hertzing;87117689
373;bébing;87117697
376;drouilly;87117788
377;aiguillon;87586693
378;st-martin-aux-champs;87117796
380;chamoy;87117911
382;montigny-les-monts;87117937
383;st-germain mairie;87117945
384;st-jean-de-bonneval;87117952
385;st-phal monument aux morts;87117960
386;villery;87117978
387;neuvy-sautour rn;87117986
389;st-lyé;87118067
390;payns;87118075
391;savières;87118083
392;st-mesmin;87118091
393;vallant-st-georges;87118117
394;châtres;87118133
395;maizières-la grande-paroisse;87118141
