Gare;Département;No_dpt;Région;Type_de_train;Date_de_la_première_desserte
Thonon-les-Bains;Haute-Savoie;74;Auvergne-Rhône-Alpes;TGV inOui (hebdomadaire);11 décembre 1983
Toulon;Var;83;Provence-Alpes-Côte d'Azur;TGV inOui, Ouigo;23 mai 1984
Toulouse-Matabiau;Haute-Garonne;31;Occitanie;TGV inOui, Ouigo;25 septembre 1990
Tourcoing;Nord;59;Hauts-de-France;TGV inOui, Ouigo;23 mai 1993
Tours;Indre-et-Loire;37;Centre-Val de Loire;TGV inOui ou TGV;25 septembre 1990
Valence TGV;Drôme;26;Auvergne-Rhône-Alpes;TGV inOui, AVE, Ouigo, Thalys (saisonnier);10 juin 2001
Valence-Ville;Drôme;26;Auvergne-Rhône-Alpes;TGV inOui;4 juillet 1982
Valenciennes;Nord;59;Hauts-de-France;TGV inOui;23 mai 1993
Vannes;Morbihan;56;Bretagne;TGV inOui ou TGV;10 septembre 1991
Vendôme - Villiers-sur-Loir;Loir-et-Cher;41;Centre-Val de Loire;TGV inOui ou TGV;25 septembre 1990
Versailles-Chantiers;Yvelines;78;Île-de-France;TGV inOui;1986
Vitré;Ille-et-Vilaine;35;Bretagne;TGV inOui ou TGV, Ouigo;24 septembre 1989
Vitry-le-François;Marne;51;Grand Est;TGV inOui;25 juin 2006
Aéroport de Düsseldorf;Rhénanie-du-Nord-Westphalie;Thalys;29 août 2011
Aix-la-Chapelle Hbf;Rhénanie-du-Nord-Westphalie;Thalys;14 décembre 1997
Augsbourg Hbf;Bavière;TGV inOui;9 décembre 2007
Baden-Baden;Bade-Wurtemberg;TGV inOui;23 mars 2012
Cologne Hbf;Rhénanie-du-Nord-Westphalie;Thalys;14 décembre 1997
Dortmund Hbf;Rhénanie-du-Nord-Westphalie;Thalys;13 décembre 2015
Duisbourg Hbf;Rhénanie-du-Nord-Westphalie;Thalys;29 août 2011
Düsseldorf Hbf;Rhénanie-du-Nord-Westphalie;Thalys;29 août 2011
Emmendingen;Bade-Wurtemberg;TGV inOui;9 décembre 2018
Essen Hbf;Rhénanie-du-Nord-Westphalie;Thalys;29 août 2011
Francfort-sur-le-Main Hbf;Hesse;ICE, TGV inOui;10 juin 2007
Fribourg-en-Brisgau Hbf;Bade-Wurtemberg;TGV inOui;26 août 2013
Kaiserslautern Hbf;Rhénanie-Palatinat;ICE, TGV inOui;10 juin 2007
Karlsruhe Hbf;Bade-Wurtemberg;TGV inOui;10 juin 2007
Lahr (Schwarzw) (de);Bade-Wurtemberg;TGV inOui;9 décembre 2018
Mannheim Hbf;Bade-Wurtemberg;ICE, TGV inOui;10 juin 2007
Munich Hbf;Bavière;TGV inOui;9 décembre 2007
Offenbourg;Bade-Wurtemberg;TGV inOui;9 décembre 2018
Sarrebruck Hbf;Sarre;ICE, TGV inOui;10 juin 2007
Stuttgart Hbf;Bade-Wurtemberg;TGV inOui;10 juin 2007
Ulm Hbf;Bade-Wurtemberg;TGV inOui;9 décembre 2007
Anvers-Central;Anvers;Flandre;Thalys;4 juin 1996
Bruxelles-Midi;Bruxelles;Région de Bruxelles-Capitale;Thalys, Izy, Eurostar, ICE, TGV inOui;14 novembre 1994
Liège-Guillemins;Liège;Wallonie;Thalys, ICE;14 décembre 1997
Barcelone-Sants;Barcelone;Catalogne;TGV inOui, AVE;15 décembre 2013
Camp de Tarragone;Tarragone;Catalogne;AVE;6 juillet 2014
Figueras - Vilafant;Gérone;Catalogne;TGV inOui, AVE;19 décembre 2010
Gérone;Gérone;Catalogne;TGV inOui, AVE;15 décembre 2013
Madrid-Atocha;Madrid;Madrid;AVE;15 décembre 2013
Saragosse-Delicias;Saragosse;Aragon;AVE;6 juillet 20146
Bardonnèche;Turin;Piémont;TGV inOui;15 décembre 1996
Milan-Porta-Garibaldi;Milan;Lombardie;TGV inOui;novembre 2011
Novare;Novare;Piémont;TGV inOui;15 décembre 1996
Oulx - Cesana - Claviere - Sestrières;Turin;Piémont;TGV inOui;15 décembre 1996
Turin-Porta-Susa;Turin;Piémont;TGV inOui;15 décembre 1996
Verceil;Verceil;Piémont;TGV inOui;15 décembre 1996
Luxembourg;Luxembourg;TGV inOui;25 juin 2006
Monaco-Monte-Carlo;La Condamine;TGV inOui;6 décembre 1999
Amsterdam-Central;Hollande-Septentrionale;Thalys, Eurostar;4 juin 1996
Rotterdam-Central;Hollande-Méridionale;Thalys, Eurostar;4 juin 1996
Schiphol-Aéroport (nl);Hollande-Septentrionale;Thalys;4 juin 1996
Ashford International;Kent;Angleterre du Sud-Est;Eurostar;6 janvier 1996
Ebbsfleet International;Kent;Angleterre du Sud-Est;Eurostar;19 novembre 2007
Londres-Saint-Pancras;Grand Londres;Grand Londres;Eurostar;13 novembre 2007
Aigle;Vaud;TGV Lyria (saisonnier, interrompu jusqu'en 2020);10 décembre 1995
Bâle CFF;Bâle-Ville;TGV Lyria;10 juin 2007
Brigue;Valais;TGV Lyria (saisonnier, interrompu jusqu'en 2020);10 décembre 1995
Genève-Cornavin;Genève;TGV Lyria;27 septembre 1981
Lausanne;Vaud;TGV Lyria;22 janvier 1984
Loèche;Valais;TGV Lyria (saisonnier, interrompu jusqu'en 2020);10 décembre 1995
Martigny;Valais;TGV Lyria (saisonnier, interrompu jusqu'en 2020);10 décembre 1995
Montreux;Vaud;TGV Lyria (saisonnier, interrompu jusqu'en 2020);10 décembre 1995
Sierre;Valais;TGV Lyria (saisonnier, interrompu jusqu'en 2020);10 décembre 1995
Sion;Valais;TGV Lyria (saisonnier, interrompu jusqu'en 2020);10 décembre 1995
Vallorbe;Vaud;TGV Lyria;22 janvier 1984
Viège;Valais;TGV Lyria (saisonnier, interrompu jusqu'en 2020);10 décembre 1995
Zurich HB;Zurich;TGV Lyria;28 septembre 1997
