trip_id;stop;stop_by_name
OCESN002062F030036764;[87212027, 87113001];['Strasbourg', 'Paris-Est']
OCESN002069F12012~TGF54531;[87113001, 87212027];['Paris-Est', 'Strasbourg']
OCESN002094F040046794;[87212027, 87171926, 87113001];['Strasbourg', 'Champagne-Ardenne', 'Paris-Est']
OCESN002202F030036796;[87192039, 87113001];['Metz-Ville', 'Paris-Est']
OCESN002203F030036799;[87212027, 87182063, 87300822, 87300863, 87713040, 87725689, 87723197, 87775007, 87773002];['Strasbourg', 'Mulhouse', 'Belfort-Montb̩liard-TGV', 'Besan̤on-Franche-Comt̩', 'Dijon-Ville', 'M̢con-Ville', 'Lyon-Part-Dieu', 'N̨mes', 'Montpellier-Saint-Roch']
OCESN002203F050056802;[87192039, 87214056, 87182063, 87300822, 87300863, 87713040, 87725689, 87723197, 87775007, 87773002];['Metz-Ville', 'S̩lestat', 'Mulhouse', 'Belfort-Montb̩liard-TGV', 'Besan̤on-Franche-Comt̩', 'Dijon-Ville', 'M̢con-Ville', 'Lyon-Part-Dieu', 'N̨mes', 'Montpellier-Saint-Roch']
OCESN002204F030036804;[87773002, 87775007, 87723197, 87725689, 87713040, 87300863, 87300822, 87182063, 87214056, 87192039];['Montpellier-Saint-Roch', 'N̨mes', 'Lyon-Part-Dieu', 'M̢con-Ville', 'Dijon-Ville', 'Besan̤on-Franche-Comt̩', 'Belfort-Montb̩liard-TGV', 'Mulhouse', 'S̩lestat', 'Metz-Ville']
OCESN002204F040046805;[87773002, 87775007, 87723197, 87725689, 87713040, 87300863, 87300822, 87182063, 87212027];['Montpellier-Saint-Roch', 'N̨mes', 'Lyon-Part-Dieu', 'M̢con-Ville', 'Dijon-Ville', 'Besan̤on-Franche-Comt̩', 'Belfort-Montb̩liard-TGV', 'Mulhouse', 'Strasbourg']
OCESN002209F090096817;[87113001, 87192039];['Paris-Est', 'Metz-Ville']
OCESN002213F190196821;[87113001, 87171926, 87192039];['Paris-Est', 'Champagne-Ardenne', 'Metz-Ville']
OCESN002220F080086834;[87192039, 87171926, 87113001];['Metz-Ville', 'Champagne-Ardenne', 'Paris-Est']
OCESN002234F010016859;[87141002, 87147322, 87113001];['Nancy-Ville', 'Meuse-TGV', 'Paris-Est']
OCESN002237F010016867;[87113001, 87147322, 87141002];['Paris-Est', 'Meuse-TGV', 'Nancy-Ville']
OCESN002239F010016879;[87212027, 87182063, 87300822, 87300863, 87713040, 87725689, 87723197, 87318964, 87319012, 87751008];['Strasbourg', 'Mulhouse', 'Belfort-Montb̩liard-TGV', 'Besan̤on-Franche-Comt̩', 'Dijon-Ville', 'M̢con-Ville', 'Lyon-Part-Dieu', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles']
OCESN002239F040046883;[87212027, 87182063, 87300822, 87300863, 87713040, 87725689, 87723197];['Strasbourg', 'Mulhouse', 'Belfort-Montb̩liard-TGV', 'Besan̤on-Franche-Comt̩', 'Dijon-Ville', 'M̢con-Ville', 'Lyon-Part-Dieu']
OCESN002239F050056880;[87141002, 87214056, 87182063, 87300822, 87300863, 87713040, 87725689, 87723197, 87318964, 87319012, 87751008];['Nancy-Ville', 'S̩lestat', 'Mulhouse', 'Belfort-Montb̩liard-TGV', 'Besan̤on-Franche-Comt̩', 'Dijon-Ville', 'M̢con-Ville', 'Lyon-Part-Dieu', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles']
OCESN002242F080086894;[87751008, 87319012, 87318964, 87722025, 87725689, 87725002, 87713545, 87713040, 87300863, 87300822, 87182063, 87182014, 87212027];['Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'Lyon-Perrache', 'M̢con-Ville', 'Chalon-sur-Sa̫ne', 'Beaune', 'Dijon-Ville', 'Besan̤on-Franche-Comt̩', 'Belfort-Montb̩liard-TGV', 'Mulhouse', 'Colmar', 'Strasbourg']
OCESN002243F04004~TGF54538;[87113001, 87171926, 87141002];['Paris-Est', 'Champagne-Ardenne', 'Nancy-Ville']
OCESN002249F060066913;[87113001, 87141002];['Paris-Est', 'Nancy-Ville']
OCESN002252F010016918;[87171009, 87113001];['Reims', 'Paris-Est']
OCESN002253F050056919;[87113001, 87171009];['Paris-Est', 'Reims']
OCESN002350F030036940;[87182014, 87214056, 87212027, 87113001];['Colmar', 'S̩lestat', 'Strasbourg', 'Paris-Est']
OCESN002356F100106950;[87182014, 87212027, 87113001];['Colmar', 'Strasbourg', 'Paris-Est']
OCESN002363F120126976;[87113001, 87212027, 87182014];['Paris-Est', 'Strasbourg', 'Colmar']
OCESN002364F040046990;[87182014, 87212027, 87171926, 87113001];['Colmar', 'Strasbourg', 'Champagne-Ardenne', 'Paris-Est']
OCESN002377F040047006;[87113001, 87212027, 87214056, 87182014];['Paris-Est', 'Strasbourg', 'S̩lestat', 'Colmar']
OCESN002407F050057021;[87113001, 87171926, 87147322, 87212027];['Paris-Est', 'Champagne-Ardenne', 'Meuse-TGV', 'Strasbourg']
OCESN002530F010017119;[87141002, 87113001];['Nancy-Ville', 'Paris-Est']
OCESN002536F020027125;[87141002, 87171926, 87113001];['Nancy-Ville', 'Champagne-Ardenne', 'Paris-Est']
OCESN002569F010017165;[87113001, 87147322, 87141002, 87212027];['Paris-Est', 'Meuse-TGV', 'Nancy-Ville', 'Strasbourg']
OCESN002571F070077172;[87113001, 87171926, 87141002, 87144006, 87144451];['Paris-Est', 'Champagne-Ardenne', 'Nancy-Ville', 'Epinal', 'Remiremont']
OCESN002573F100107188;[87113001, 87147322, 87141002, 87144006, 87144451];['Paris-Est', 'Meuse-TGV', 'Nancy-Ville', 'Epinal', 'Remiremont']
OCESN002574F080087190;[87144451, 87144006, 87141002, 87113001];['Remiremont', 'Epinal', 'Nancy-Ville', 'Paris-Est']
OCESN002576F120127195;[87144451, 87144006, 87141002, 87147322, 87113001];['Remiremont', 'Epinal', 'Nancy-Ville', 'Meuse-TGV', 'Paris-Est']
OCESN002583F080087219;[87113001, 87141002, 87141150, 87215012, 87212225, 87212027];['Paris-Est', 'Nancy-Ville', 'Lun̩ville', 'Sarrebourg', 'Saverne', 'Strasbourg']
OCESN002584F090097228;[87212027, 87212225, 87215012, 87141150, 87141002, 87113001];['Strasbourg', 'Saverne', 'Sarrebourg', 'Lun̩ville', 'Nancy-Ville', 'Paris-Est']
OCESN002587F090097235;[87113001, 87147322, 87141002, 87215012, 87212225, 87212027];['Paris-Est', 'Meuse-TGV', 'Nancy-Ville', 'Sarrebourg', 'Saverne', 'Strasbourg']
OCESN002588F100107241;[87212027, 87212225, 87215012, 87141002, 87113001];['Strasbourg', 'Saverne', 'Sarrebourg', 'Nancy-Ville', 'Paris-Est']
OCESN002591F030037242;[87113001, 87147322, 87141002, 87141150, 87144014];['Paris-Est', 'Meuse-TGV', 'Nancy-Ville', 'Lun̩ville', 'St-Di̩-des-Vosges']
OCESN002593F040047252;[87113001, 87147322, 87141002, 87144014];['Paris-Est', 'Meuse-TGV', 'Nancy-Ville', 'St-Di̩-des-Vosges']
OCESN002596F120127269;[87144014, 87141002, 87113001];['St-Di̩-des-Vosges', 'Nancy-Ville', 'Paris-Est']
OCESN002596F180187260;[87144014, 87141002, 87147322, 87113001];['St-Di̩-des-Vosges', 'Nancy-Ville', 'Meuse-TGV', 'Paris-Est']
OCESN002598F040047272;[87144014, 87141150, 87141002, 87147322, 87113001];['St-Di̩-des-Vosges', 'Lun̩ville', 'Nancy-Ville', 'Meuse-TGV', 'Paris-Est']
OCESN002656F020027300;[87192039, 87147322, 87113001];['Metz-Ville', 'Meuse-TGV', 'Paris-Est']
OCESN002709F040047316;[87113001, 87171009, 87172270, 87172007, 87172254];['Paris-Est', 'Reims', 'Rethel', 'Charleville-M̩zi̬res', 'Sedan']
OCESN002709F100107320;[87113001, 87171009, 87172270, 87172254];['Paris-Est', 'Reims', 'Rethel', 'Sedan']
OCESN002714F020027325;[87172254, 87172007, 87172270, 87171009, 87113001];['Sedan', 'Charleville-M̩zi̬res', 'Rethel', 'Reims', 'Paris-Est']
OCESN002715F040047329;[87113001, 87171009, 87172270, 87172007];['Paris-Est', 'Reims', 'Rethel', 'Charleville-M̩zi̬res']
OCESN002730F140147358;[87172254, 87172270, 87171009, 87113001];['Sedan', 'Rethel', 'Reims', 'Paris-Est']
OCESN002754F060067385;[87172007, 87172270, 87171009, 87113001];['Charleville-M̩zi̬res', 'Rethel', 'Reims', 'Paris-Est']
OCESN002777F030037409;[87113001, 87171926, 87174003, 87174276, 87175042];['Paris-Est', 'Champagne-Ardenne', 'Ch̢lons-en-Champagne', 'Vitry-le-Fran̤ois', 'Bar-le-Duc']
OCESN002777F040047406;[87113001, 87171926, 87174003];['Paris-Est', 'Champagne-Ardenne', 'Ch̢lons-en-Champagne']
OCESN002778F030037412;[87175042, 87174276, 87174003, 87171926, 87113001];['Bar-le-Duc', 'Vitry-le-Fran̤ois', 'Ch̢lons-en-Champagne', 'Champagne-Ardenne', 'Paris-Est']
OCESN002784F080087417;[87174003, 87171926, 87113001];['Ch̢lons-en-Champagne', 'Champagne-Ardenne', 'Paris-Est']
OCESN002801F050057424;[87113001, 87192039, 87191007, 82001000];['Paris-Est', 'Metz-Ville', 'Thionville', 'Luxembourg']
OCESN002803F160167430;[87113001, 87192039, 82001000];['Paris-Est', 'Metz-Ville', 'Luxembourg']
OCESN002807F080087439;[87113001, 87171926, 87192039, 87191007, 82001000];['Paris-Est', 'Champagne-Ardenne', 'Metz-Ville', 'Thionville', 'Luxembourg']
