stop_name;stop_id;train_type;geometry
Miramas;87753004;['TGV inOui'];POINT (4.99960212 43.58074022)
Modane;87742007;['TGV inOui'];POINT (6.65917769 45.19355829)
Montauban-Ville-Bourbon;87611244;['TGV inOui', ' Ouigo'];POINT (1.34197365 44.01463933)
Montbard;87713131;['TGV inOui'];POINT (4.33615203 47.61871969)
Montpellier-Saint-Roch;87773002;['TGV inOui', ' Ouigo', ' AVE'];POINT (3.88236031 43.60583439)
Montpellier-Sud-de-France;87688887;['TGV inOui', ' Ouigo'];POINT (3.92683548 43.59474378)
Montélimar;87764001;['TGV inOui'];POINT (4.74478967 44.55899966)
Morlaix;87474338;['TGV inOui ou TGV'];POINT (-3.83276143 48.5779789)
Mulhouse-Ville;87182063;['TGV inOui', ' TGV Lyria'];POINT (7.34284957 47.74179838)
Mâcon-Loché TGV;87725705;['TGV inOui'];POINT (4.77894838 46.28289775)
Mâcon-Ville;87725689;['TGV inOui'];POINT (4.82514854 46.30265933)
Nancy-Ville;87141002;['TGV inOui', ' Ouigo'];POINT (6.17427169 48.68978225)
Nantes;87481002;['TGV inOui ou TGV', ' Ouigo'];POINT (-1.54192517 47.21750472)
Narbonne;87781104;['TGV inOui', ' AVE'];POINT (3.00595633 43.19103322)
Nice-Ville;87756056;['TGV inOui', ' Ouigo'];POINT (7.26178618 43.70471069)
Niort;87485300;['TGV inOui ou TGV'];POINT (-0.45439057 46.31934516)
Nîmes;87775007;['TGV inOui', ' Ouigo', ' AVE'];POINT (4.36583551 43.83229306)
Nîmes-Pont-du-Gard;87703975;['TGV inOui', ' Ouigo'];POINT (4.5076804 43.81680671)
Orange;87765107;['TGV inOui'];POINT (4.81949522 44.13730527)
Orthez;87672253;['TGV inOui'];POINT (-0.76762492 43.4840995)
Paris-Est;87113001;['TGV inOui', ' Ouigo', ' ICE'];POINT (2.35915061 48.87656977)
Paris-Gare-de-Lyon;87686006;['TGV inOui', ' TGV Lyria', ' Ouigo'];POINT (2.37346237 48.84492163)
Paris-Montparnasse;87391003;['TGV inOui ou TGV', ' Ouigo'];POINT (2.31989439 48.84062983)
Paris-Nord;87271007;['TGV inOui', ' Thalys', ' Izy', ' Eurostar'];POINT (2.35488709 48.88013842)
Pau;87672006;['TGV inOui'];POINT (-0.3696496 43.29166733)
Perpignan;87784009;['TGV inOui', ' AVE'];POINT (2.87961698 42.69607483)
Plouaret-Trégor;87473181;['TGV inOui ou TGV'];POINT (-3.46681 48.60618896)
Poitiers;87575001;['TGV inOui ou TGV', ' Ouigo'];POINT (0.33308432 46.58218335)
Pornichet;87481747;['TGV inOui ou TGV'];POINT (-2.34473718 47.2704847)
Quimper;87474098;['TGV inOui ou TGV'];POINT (-4.09210303 47.99465835)
Quimperlé;87476317;['TGV inOui ou TGV'];POINT (-3.55301115 47.86906313)
Rang-du-Fliers - Verton;87317057;['TGV inOui', 'TERGV'];POINT (1.64807751 50.41581001)
Redon;87471300;['TGV inOui ou TGV'];POINT (-2.08787664 47.6517633)
Reims;87171009;['TGV inOui'];POINT (4.02401739 49.25906626)
Remiremont;87144451;['TGV inOui'];POINT (6.59904066 48.01636734)
Rennes;87471003;['TGV inOui ou TGV', ' Ouigo'];POINT (-1.67232664 48.10351528)
Rethel;87172270;['TGV inOui'];POINT (4.37028428 49.50457068)
Rosporden;87474155;['TGV inOui ou TGV'];POINT (-3.83275774 47.96018968)
Roubaix;87286732;['TGV inOui'];POINT (3.16302118 50.69535226)
Rouen-Rive-Droite;87411017;['TGV inOui'];POINT (1.09415392 49.44903033)
Sablé-sur-Sarthe;87396408;['TGV inOui ou TGV'];POINT (-0.3420485 47.84171822)
Saint-Brieuc;87473009;['TGV inOui ou TGV'];POINT (-2.76546663 48.50722302)
Saint-Dié-des-Vosges;87144014;['TGV inOui'];POINT (6.94805613 48.28223818)
Saint-Jean-de-Luz - Ciboure;87677120;['TGV inOui'];POINT (-1.66116196 43.38584546)
Saint-Jean-de-Maurienne - Vallée de l'Arvan;87742320;['TGV inOui'];POINT (6.35419796 45.27784161)
Saint-Maixent (Deux-Sèvres);87485490;['TGV inOui ou TGV'];POINT (-0.20130625 46.40630762)
Saint-Malo;87478107;['TGV inOui ou TGV'];POINT (-2.00462026 48.6466523)
Saint-Nazaire;87481705;['TGV inOui ou TGV'];POINT (-2.21107419 47.28647399)
Saint-Pierre-des-Corps;87571240;['TGV inOui ou TGV', ' Ouigo'];POINT (0.72505388 47.38573204)
Saint-Raphaël-Valescure;87757526;['TGV inOui', ' Ouigo'];POINT (6.76901271 43.42360603)
Saint-Étienne-Châteaucreux;87726000;['TGV inOui'];POINT (4.39999641 45.44338161)
Sarrebourg;87215012;['TGV inOui'];POINT (7.05278059 48.73794081)
Saumur;87487603;['TGV inOui'];POINT (-0.07142991999999999 47.268972)
Saverne;87212225;['TGV inOui'];POINT (7.36215238 48.74477891)
Sedan;87172254;['TGV inOui'];POINT (4.92998882 49.69486091)
Strasbourg-Ville;87212027;['TGV inOui', ' Ouigo', ' ICE'];POINT (7.73396834 48.5851719)
Surgères;87485227;['TGV inOui ou TGV'];POINT (-0.76213303 46.11341598)
Sète;87773200;['TGV inOui'];POINT (3.69639619 43.41281189)
Sélestat;87214056;['TGV inOui'];POINT (7.44210277 48.25963804)
TGV Haute-Picardie;87313882;['TGV inOui', ' Ouigo'];POINT (2.83165428 49.85920132)
Tarbes;87671008;['TGV inOui'];POINT (0.06940671 43.23980288)
Thionville;87191007;['TGV inOui'];POINT (6.16885488 49.35392318)
Thonon-les-Bains;87745646;['TGV inOui (hebdomadaire)'];POINT (6.48155671 46.36897977)
Toulon;87755009;['TGV inOui', ' Ouigo'];POINT (5.92945828 43.12831598)
Toulouse-Matabiau;87611004;['TGV inOui', ' Ouigo'];POINT (1.45355763 43.61146412)
Tourcoing;87286542;['TGV inOui', ' Ouigo'];POINT (3.16800893 50.71672918)
Tours;87571000;['TGV inOui ou TGV'];POINT (0.69350509 47.38981372)
Valence TGV;87763029;['TGV inOui', ' AVE', ' Ouigo', ' Thalys (saisonnier)'];POINT (4.97894146 44.99137044)
Valence-Ville;87761007;['TGV inOui'];POINT (4.89329483 44.92807044)
Valenciennes;87343004;['TGV inOui'];POINT (3.5171157 50.3632371)
Vannes;87476606;['TGV inOui ou TGV'];POINT (-2.75252349 47.66532376)
Vendôme - Villiers-sur-Loir;87571216;['TGV inOui ou TGV'];POINT (1.01966733 47.8203239)
Versailles-Chantiers;87393009;['TGV inOui'];POINT (2.13546496 48.79556635)
Vitry-le-François;87174276;['TGV inOui'];POINT (4.58723196 48.7177326)
Vitré;87471508;['TGV inOui ou TGV', ' Ouigo'];POINT (-1.21196568 48.12241997)
Épinal;87144006;['TGV inOui'];POINT (6.4415552 48.17807839)
Étaples - Le Touquet;87317065;['TGV inOui', ' TERGV'];POINT (1.64249653 50.51671737)
Évian-les-Bains;87745679;['TGV inOui (hebdomadaire)'];POINT (6.57747248 46.39788911)
