destination;departure_date;arrival_date;duration;number_of_segments;price;currency;transportation_mean
87171009;02/05/2020 12:58;02/05/2020 13:44;00h46;1;29,0;EUR;train
87171009;02/05/2020 12:58;02/05/2020 13:44;00h46;1;65,0;EUR;train
87171009;02/05/2020 12:58;02/05/2020 13:44;00h46;1;31,0;EUR;train
