;trip_type;trip_id;departure_name;arrival_name;departure_uic;arrival_uic;duration;stops
0;87113001_87212027;OCESN002369F250256992;Paris-Est;Strasbourg;87113001;87212027;6420;[]
1;87113001_87182014;OCESN002369F250256992;Paris-Est;Colmar;87113001;87182014;9120;['Strasbourg']
2;87212027_87182014;OCESN002369F250256992;Strasbourg;Colmar;87212027;87182014;2700;[]
3;87113001_87212027;OCESN002369F150156997;Paris-Est;Strasbourg;87113001;87212027;6420;[]
4;87113001_87182014;OCESN002369F150156997;Paris-Est;Colmar;87113001;87182014;9120;['Strasbourg']
5;87212027_87182014;OCESN002369F150156997;Strasbourg;Colmar;87212027;87182014;2700;[]
6;87113001_87212027;OCESN002363F270276985;Paris-Est;Strasbourg;87113001;87212027;6300;[]
7;87113001_87182014;OCESN002363F270276985;Paris-Est;Colmar;87113001;87182014;8760;['Strasbourg']
8;87212027_87182014;OCESN002363F270276985;Strasbourg;Colmar;87212027;87182014;2460;[]
9;87113001_87212027;OCESN002363F130136980;Paris-Est;Strasbourg;87113001;87212027;6300;[]
10;87113001_87182014;OCESN002363F130136980;Paris-Est;Colmar;87113001;87182014;8460;['Strasbourg']
11;87212027_87182014;OCESN002363F130136980;Strasbourg;Colmar;87212027;87182014;2160;[]
12;87113001_87212027;OCESN002363F210216987;Paris-Est;Strasbourg;87113001;87212027;6300;[]
13;87113001_87182014;OCESN002363F210216987;Paris-Est;Colmar;87113001;87182014;8580;['Strasbourg']
14;87212027_87182014;OCESN002363F210216987;Strasbourg;Colmar;87212027;87182014;2280;[]
15;87113001_87212027;OCESN002369F210216998;Paris-Est;Strasbourg;87113001;87212027;6420;[]
16;87113001_87182014;OCESN002369F210216998;Paris-Est;Colmar;87113001;87182014;9360;['Strasbourg']
17;87212027_87182014;OCESN002369F210216998;Strasbourg;Colmar;87212027;87182014;2940;[]
18;87113001_87212027;OCESN002377F08008~TGF54549;Paris-Est;Strasbourg;87113001;87212027;6420;[]
19;87113001_87214056;OCESN002377F08008~TGF54549;Paris-Est;S̩lestat;87113001;87214056;7860;['Strasbourg']
20;87113001_87182014;OCESN002377F08008~TGF54549;Paris-Est;Colmar;87113001;87182014;8700;['Strasbourg', 'S̩lestat']
21;87212027_87214056;OCESN002377F08008~TGF54549;Strasbourg;S̩lestat;87212027;87214056;1440;[]
22;87212027_87182014;OCESN002377F08008~TGF54549;Strasbourg;Colmar;87212027;87182014;2280;['S̩lestat']
23;87113001_87212027;OCESN002369F14014~TGF54545;Paris-Est;Strasbourg;87113001;87212027;6420;[]
24;87113001_87182014;OCESN002369F14014~TGF54545;Paris-Est;Colmar;87113001;87182014;9120;['Strasbourg']
25;87212027_87182014;OCESN002369F14014~TGF54545;Strasbourg;Colmar;87212027;87182014;2700;[]
26;87113001_87212027;OCESN002377F040047006;Paris-Est;Strasbourg;87113001;87212027;6420;[]
27;87113001_87214056;OCESN002377F040047006;Paris-Est;S̩lestat;87113001;87214056;7860;['Strasbourg']
28;87113001_87182014;OCESN002377F040047006;Paris-Est;Colmar;87113001;87182014;8640;['Strasbourg', 'S̩lestat']
29;87212027_87214056;OCESN002377F040047006;Strasbourg;S̩lestat;87212027;87214056;1440;[]
30;87212027_87182014;OCESN002377F040047006;Strasbourg;Colmar;87212027;87182014;2220;['S̩lestat']
31;87113001_87212027;OCESN002377F080087010;Paris-Est;Strasbourg;87113001;87212027;6420;[]
32;87113001_87214056;OCESN002377F080087010;Paris-Est;S̩lestat;87113001;87214056;7860;['Strasbourg']
33;87113001_87182014;OCESN002377F080087010;Paris-Est;Colmar;87113001;87182014;8700;['Strasbourg', 'S̩lestat']
