;trip_type;trip_id;departure_name;arrival_name;departure_uic;arrival_uic;duration;stops
0;87113001_87212027;OCESN002369F250256992;Paris-Est;Strasbourg;87113001;87212027;6420;[]
1;87113001_87182014;OCESN002369F250256992;Paris-Est;Colmar;87113001;87182014;9120;['Strasbourg']
2;87113001_87212027;OCESN002369F150156997;Paris-Est;Strasbourg;87113001;87212027;6420;[]
3;87113001_87182014;OCESN002369F150156997;Paris-Est;Colmar;87113001;87182014;9120;['Strasbourg']
4;87113001_87212027;OCESN002363F270276985;Paris-Est;Strasbourg;87113001;87212027;6300;[]
5;87113001_87182014;OCESN002363F270276985;Paris-Est;Colmar;87113001;87182014;8760;['Strasbourg']
6;87113001_87212027;OCESN002363F130136980;Paris-Est;Strasbourg;87113001;87212027;6300;[]
7;87113001_87182014;OCESN002363F130136980;Paris-Est;Colmar;87113001;87182014;8460;['Strasbourg']
8;87113001_87212027;OCESN002363F210216987;Paris-Est;Strasbourg;87113001;87212027;6300;[]
9;87113001_87182014;OCESN002363F210216987;Paris-Est;Colmar;87113001;87182014;8580;['Strasbourg']
10;87113001_87212027;OCESN002369F210216998;Paris-Est;Strasbourg;87113001;87212027;6420;[]
11;87113001_87182014;OCESN002369F210216998;Paris-Est;Colmar;87113001;87182014;9360;['Strasbourg']
12;87113001_87212027;OCESN002377F08008~TGF54549;Paris-Est;Strasbourg;87113001;87212027;6420;[]
13;87113001_87214056;OCESN002377F08008~TGF54549;Paris-Est;S̩lestat;87113001;87214056;7860;['Strasbourg']
14;87113001_87182014;OCESN002377F08008~TGF54549;Paris-Est;Colmar;87113001;87182014;8700;['Strasbourg', 'S̩lestat']
15;87113001_87212027;OCESN002369F14014~TGF54545;Paris-Est;Strasbourg;87113001;87212027;6420;[]
16;87113001_87182014;OCESN002369F14014~TGF54545;Paris-Est;Colmar;87113001;87182014;9120;['Strasbourg']
17;87113001_87212027;OCESN002377F040047006;Paris-Est;Strasbourg;87113001;87212027;6420;[]
18;87113001_87214056;OCESN002377F040047006;Paris-Est;S̩lestat;87113001;87214056;7860;['Strasbourg']
19;87113001_87182014;OCESN002377F040047006;Paris-Est;Colmar;87113001;87182014;8640;['Strasbourg', 'S̩lestat']
20;87113001_87212027;OCESN002377F080087010;Paris-Est;Strasbourg;87113001;87212027;6420;[]
21;87113001_87214056;OCESN002377F080087010;Paris-Est;S̩lestat;87113001;87214056;7860;['Strasbourg']
22;87113001_87182014;OCESN002377F080087010;Paris-Est;Colmar;87113001;87182014;8700;['Strasbourg', 'S̩lestat']
23;87113001_87212027;OCESN002377F04004~TGF54547;Paris-Est;Strasbourg;87113001;87212027;6420;[]
24;87113001_87214056;OCESN002377F04004~TGF54547;Paris-Est;S̩lestat;87113001;87214056;7860;['Strasbourg']
25;87113001_87182014;OCESN002377F04004~TGF54547;Paris-Est;Colmar;87113001;87182014;8640;['Strasbourg', 'S̩lestat']
26;87113001_87212027;OCESN002363F120126976;Paris-Est;Strasbourg;87113001;87212027;6300;[]
27;87113001_87182014;OCESN002363F120126976;Paris-Est;Colmar;87113001;87182014;8460;['Strasbourg']
28;87113001_87212027;OCESN002371F050057003;Paris-Est;Strasbourg;87113001;87212027;6360;[]
29;87113001_87182014;OCESN002371F050057003;Paris-Est;Colmar;87113001;87182014;8220;['Strasbourg']
30;87113001_87212027;OCESN002371F060067004;Paris-Est;Strasbourg;87113001;87212027;6360;[]
31;87113001_87182014;OCESN002371F060067004;Paris-Est;Colmar;87113001;87182014;8280;['Strasbourg']
32;87113001_87212027;OCESN009561F2402415023;Paris-Est;Strasbourg;87113001;87212027;6300;[]
