,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8,display_name,house_number,road,neighbourhood,city_district,city,municipality,county,state,country,postcode,country_code,suburb,pharmacy,footway,residential,town,state_district,address29,pedestrian,bar,hamlet,village,cycleway,attraction,pub,post_office,restaurant,convenience,aerodrome,retail,hotel,locality,public_building,newsagent,clothes,province,estate_agent,cafe,place_of_worship,arts_centre,cinema,building,fast_food,post_box,supermarket,townhall,beauty,region,bank,parking,shoes,hairdresser,museum,industrial,clinic,commercial,alcohol,marina,theatre,memorial,artwork,castle,archaeological_site,subway_entrance,bakery,bus_stop,car,information,station,house,chalet,community_centre,bay,nightclub,courthouse,mobile_phone,hostel,optician,garden_centre,school,monument,books,travel_agency,computer,butcher,dry_cleaning,bicycle,mall,doctors,furniture,university,library,tram_stop,college,caravan_site,car_rental,stadium,sports_centre,water,path,wood,pitch,recycling,shop,address26,crematorium,car_repair,kindergarten,ferry_terminal
2653,MAMA BAR,"Hobrechtstraße 61, 12047 Berlin, Allemagne",52.490513899999996,13.4261189,0,0,1,Cheapest beer,3.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mama, 61, Hobrechtstraße, Reuterkiez, Neukölln, Berlin, 12047, Deutschland",61,Hobrechtstraße,Reuterkiez,,,,,Berlin,Deutschland,12047,de,Neukölln,,,,,,,,,,,,,Mama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,MKP Opéra,4 Rue Daunou,48.8693141,2.3323713,"[16, 0]","[19, 0]",3,Urubu,6.0,4.5,50,La Chouffe,8.0,5.5,50.0,Saint Landelin,8.0,5.5,50.0,Blanche Belzébuth,8.0,5.5,50.0,Guiness,8.0,5.5,50.0,Duvel,8.0,8.0,33.0,Desperados,7.5,7.5,33.0,TBD,,,,"Le Biscornu Opéra, 4, Rue Daunou, Quartier Gaillon, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France",4,Rue Daunou,,Paris 2e Arrondissement,Paris,Paris,Paris,Île-de-France,France,75002,fr,Quartier Gaillon,,,,,,,,Le Biscornu Opéra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,MONK La Taverne De Cluny,"51 Rue de la Harpe, 75005 Paris, France",48.851572499999996,2.3438953,"[16, 0]","[20, 0]",1,Cheapest beer,7.0,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MONK La Taverne de Cluny, 51, Rue de la Harpe, Îlot Saint-Séverin, Quartier de la Sorbonne, Paris, Île-de-France, France métropolitaine, 75005, France",51,Rue de la Harpe,Îlot Saint-Séverin,,Paris,Paris,Paris,Île-de-France,France,75005,fr,Quartier de la Sorbonne,,,,,,,,,,,,,,,MONK La Taverne de Cluny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,Ma Nolan's,"6 Rue Buttura, 06400 Cannes, France",43.5531138,7.0179102,"[16, 0]","[19, 0]",1,Cheapest beer,4.9,3.9,50,Guinness,6.9,5.4,50.0,La Chouffe,7.9,5.9,50.0,,,,,,,,,,,,,,,,,,,,,"Monoprix, Rue Louis Ardisson, Cannes Passy, Saint-Nicolas, Cannes, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06407, France",,Rue Louis Ardisson,Cannes Passy,,,Grasse,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,France,06407,fr,Saint-Nicolas,,,,Cannes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monoprix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,Ma Pomme En Colimaçon,"107 Rue de Ménilmontant, 75020 Paris, France",48.8692967,2.3920394,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107, Rue de Ménilmontant, Quartier du Père-Lachaise, Paris, Île-de-France, France métropolitaine, 75020, France",107,Rue de Ménilmontant,,,Paris,Paris,Paris,Île-de-France,France,75020,fr,Quartier du Père-Lachaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,Ma Prairie,"6 Boulevard Richard Wallace, 92800 Puteaux, France",48.8788477,2.2421804,"[16, 0]","[18, 0]",0,Cheapest beer,6.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6, Boulevard Richard Wallace, La Défense 9, Puteaux, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92800, France",6,Boulevard Richard Wallace,La Défense 9,,,Arrondissement de Nanterre,Hauts-de-Seine,Île-de-France,France,92800,fr,,,,,Puteaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,Mac Arthur,"16 Place de la Pêcherie, 58200 Cosne-Cours-sur-Loire, France",47.41319620000001,2.9223602000000004,0,0,0,Cheapest beer,3.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16, Place de la Pêcherie, Domaine de Port Aubry, Cosne-Cours-sur-Loire, Nièvre, Bourgogne-Franche-Comté, France métropolitaine, 58200, France",16,Place de la Pêcherie,,,,Cosne-Cours-sur-Loire,Nièvre,Bourgogne-Franche-Comté,France,58200,fr,,,,,Cosne-Cours-sur-Loire,,,,,Domaine de Port Aubry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,Mac Callaghan,"8 Rue Bannelier, 21000 Dijon, France",47.32424620000001,5.0399005,"[17, 0]","[19, 0]",0,Cheapest beer,5.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8, Rue Bannelier, Faubourg Raines, Centre-Ville, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",8,Rue Bannelier,Faubourg Raines,,Dijon,Dijon,Côte-d'Or,Bourgogne-Franche-Comté,France,21000,fr,Centre-Ville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,Mac Carthy,"6 Rue Guerrier de Dumast, 54000 Nancy, France",48.692221,6.1775310999999995,0,0,1,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6, Rue Guerrier de Dumast, Saint-Nicolas - Charles III - Ville vieille - Trois Maisons - Léopold, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54100, France",6,Rue Guerrier de Dumast,,,Nancy,Nancy,Meurthe-et-Moselle,Grand Est,France,54100,fr,Saint-Nicolas - Charles III - Ville vieille - Trois Maisons - Léopold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,Mac Laughlins,"65 Place de la Mairie, 29790 Beuzec-Cap-Sizun, France",48.074876,-4.5119485032395446,0,0,0,Cheapest beer,4.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mc Laughlin’s, 65, Place de La Mairie, Kerbrug, Beuzec-Cap-Sizun, Quimper, Finistère, Bretagne, France métropolitaine, 29790, France",65,Place de La Mairie,,,,Quimper,Finistère,Bretagne,France,29790,fr,Kerbrug,,,,,,,,Mc Laughlin’s,,Beuzec-Cap-Sizun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
