uic_station;request_time;Nb_Results
87286005;111.62031483650208;0.0
87271494;91.52497458457947;0.0
87111849;92.9513726234436;0.0
87393702;97.53235077857971;0.0
87571240;3.5121593475341797;3.0
87583005;3.435448408126831;4.0
87581009;21.5525643825531;3.0
87223263;3.4432270526885986;0.0
87171926;99.70305919647217;0.0
87147322;93.8745584487915;0.0
87142109;105.50672054290771;0.0
87212027;99.405935049057;0.0
87391003;4.45959997177124;3.0
87313882;94.6115620136261;0.0
87286542;97.62196207046509;0.0
87575142;2.5378715991973877;0.0
87571216;3.284358024597168;0.0
87324095;17.6234872341156;0.0
87485003;2.226789712905884;1.0
87485227;3.846264123916626;1.0
87485300;19.839784622192383;1.0
87485490;80.82034611701965;1.0
87584052;95.86089873313904;0.0
