name;address;HH_start;HH_end;confidence_index;beers
Alafût;106 Rue Martainville, 76000 Rouen, France;17;20;0;{'Cheapest beer': {'HHprice': '3.5 €', 'nHHprice': '4.5 €', 'volume': '50'}, 'Mordue': {'HHprice': '5 €', 'nHHprice': '6 €', 'volume': '50'}, 'Paix Dieu': {'HHprice': '6 €', 'nHHprice': '7 €', 'volume': '50'}, 'La Chouffe': {'HHprice': '5 €', 'nHHprice': '6 €', 'volume': '50'}}
Alaus Namai;8, Vilnius 01108, Lithuania;0;0;1;{'Cheapest beer': {'nHHprice': '2 €', 'volume': '50'}}
Alcazar;8 Rue de l'Ancienne Comédie, 62200 Boulogne-sur-Mer, France;0;0;6;{'Cheapest beer': {'nHHprice': '5 €', 'volume': '50'}}
Alchemia;Estery 5, 33-332 Kraków, Pologne;0;0;0;{'Cheapest beer': {'nHHprice': '2.12 €', 'volume': '50'}}
Alchimia;13 Rue Auguste Comte, 21000 Dijon, France;17;19;0;{'Cheapest beer': {'HHprice': '3.5 €', 'nHHprice': '4.5 €', 'volume': '50'}}
Ale&Hop;Carrer de les Basses de Sant Pere, 10, 08003 Barcelona, Espagne;0;0;0;{'Cheapest beer': {'nHHprice': '5.5 €', 'volume': '50'}}
Alex'S Tavern;10 Rue Saint-Michel, 35000 Rennes, France;0;0;4;{'Cheapest beer': {'nHHprice': '5 €', 'volume': '50'}}
Alexandre;24 Rue de la Parcheminerie, 75005 Paris, France;10;2230;0;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '8 €', 'volume': '50'}}
Alhambra Bar;8 Avenue de la République, 75011 Paris, France;17;21;2;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '8 €', 'volume': '50'}}
Alizée;25 Boulevard Robert Jarry, 72100 Le Mans, France;0;0;0;{'Cheapest beer': {'nHHprice': '3.8 €', 'volume': '50'}}
Aller Simple;Rue St Jean en Isle 28, 4000 Liège, Belgique;0;0;0;{'Cheapest beer': {'nHHprice': '4.4 €', 'volume': '50'}}
Alt O Post;Rue Pierre Legrand, Lille, France;0;0;0;{'Cheapest beer': {'nHHprice': '4 €', 'volume': '50'}}
American Dream;21 Rue Daunou, 75002 Paris-2E-Arrondissement, France;13;17;3;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '9 €', 'volume': '50'}}
Americo's;Aeroporto Internacional Amílcar Cabral, Espargos 4110, Cap-Vert;0;0;1;{'strela': {'nHHprice': '4 €', 'volume': '50'}, 'super bock': {'nHHprice': '4 €', 'volume': '50'}}
Amicale Des Boulistes De Milly-La-Forêt;Chemin des Petits Saules, 91490 Milly-la-Forêt, France;0;0;0;{'Cheapest beer': {'nHHprice': '1.5 €', 'volume': '50'}}
Ammazza;5 Rue Saint-Sabin, 75011 Paris, France;1630;1830;1;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '8 €', 'volume': '50'}, 'Vedett Extra IPA': {'HHprice': '5 €', 'nHHprice': '9 €', 'volume': '50'}, 'Vedett Extra White': {'HHprice': '5 €', 'nHHprice': '9 €', 'volume': '50'}}
Amor Y Pan;Rue François Arago, 93100 Montreuil, France;0;0;0;{'Cheapest beer': {'nHHprice': '5 €', 'volume': '50'}}
Amour;14 Boulevard de Reuilly, 75012 Paris, France;0;0;1;{'Cheapest beer': {'nHHprice': '5 €', 'volume': '50'}}
Amzer’zo;184 Le Bourg, 29250 Plougoulm, France;0;0;0;{'Cheapest beer': {'nHHprice': '4.6 €', 'volume': '50'}, '1664 Blanche ': {'volume': '50'}, 'Kronenbourg': {'volume': '50'}}
Anbra;Via Giuseppe Garibaldi, 49, 67100 L'Aquila, Italy;0;0;0;{'Cheapest beer': {'nHHprice': '4 €', 'volume': '50'}}
Anchor Tap;20A Horselydown Ln, London SE1 2LN, Royaume-Uni;0;0;0;{'Cheapest beer': {'nHHprice': '2.56 €', 'volume': '50'}}
Anfield;Seehofstrasse 7, 6004 Luzern, Schweiz;0;0;1;{'Cheapest beer': {'nHHprice': '7 €', 'volume': '50'}}
Antares;Calle 56 820, 1900 La Plata, Buenos Aires, Argentine;21;2230;0;{'Cheapest beer': {'HHprice': '2.5 €', 'nHHprice': '5 €', 'volume': '50'}}
Antre De L'echoppe;4 Rue Benjamin Crémieux, 11100 Narbonne, France;0;0;0;{'Cheapest beer': {'nHHprice': '4 €', 'volume': '50'}}
Antycafe;Sławkowska 12, 31-014 Kraków, Pologne;0;0;0;{'Cheapest beer': {'nHHprice': '2.5 €', 'volume': '50'}}
Aperonome;4 Boulevard de Ménilmontant, 75020 Paris, France;17;20;1;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '5 €', 'volume': '50'}, 'Brooklyn East IPA': {'HHprice': '7.5 €', 'nHHprice': '7.5 €', 'volume': '50'}}
Appart' Café;286 Rue nationale, 59800 Lille, France;0;0;0;{'Cheapest beer': {'nHHprice': '4 €', 'volume': '50'}}
Apu's Restobar;Federico Errázuriz 914, Santa Cruz, VI Región, Chili;0;0;0;{'Cheapest beer': {'nHHprice': '3.6 €', 'volume': '50'}}
Apéro Saint-Martin;104 Quai de Jemmapes, 75010 Paris, France;14;20;2;{'Meteor': {'HHprice': '5 €', 'nHHprice': '7 €', 'volume': '50'}, 'Gallia Lager': {'nHHprice': '8 €', 'volume': '50'}, 'Gallia IPA': {'nHHprice': '8 €', 'volume': '50'}, 'Gallia Weissbier': {'nHHprice': '8 €', 'volume': '50'}, 'Goudale': {'nHHprice': '8 €', 'volume': '50'}, 'Pietra': {'nHHprice': '8 €', 'volume': '50'}, 'BAPBAP Originale': {'nHHprice': '6 €', 'volume': '33'}, 'others': 'TBD'}
Apérock Café;46 Boulevard Voltaire, 75011 Paris, France;16;18;3;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '6.5 €', 'volume': '50'}}
